"View Credit Memo","Gutschrift anzeigen"
"All customer-facing emails sent by the module. Each email can be enabled/disabled, assigned a custom template (Marketing → Email Templates), and BCC'd to a merchant address. The shared <em>Branding</em> subgroup at the bottom controls the layout (USP strip, social links) used by every email below.","Alle vom Modul versendeten Kunden-E-Mails. Jede E-Mail kann aktiviert/deaktiviert, mit einer benutzerdefinierten Vorlage versehen (Marketing → E-Mail-Vorlagen) und per BCC an eine Händleradresse gesendet werden. Die gemeinsame Untergruppe <em>Branding</em> unten steuert das Layout (USP-Leiste, Social-Media-Links), das von allen unten aufgeführten E-Mails verwendet wird."
"1. Submission Confirmation Email","1. E-Mail zur Eingangsbestätigung"
"Enabled","Aktiviert"
"Email Template","E-Mail-Vorlage"
"BCC Merchant","BCC an Händler"
"Comma-separated. Leave blank to disable.","Kommagetrennt. Leer lassen, um zu deaktivieren."
"2. Approval Email","2. E-Mail zur Genehmigung"
"3. Denial Email","3. E-Mail zur Ablehnung"
"4. Cancellation Email (Admin-Initiated)","4. E-Mail zur Stornierung (durch Administrator)"
"5. Cancellation Email (Customer Self-Cancel)","5. E-Mail zur Stornierung (durch Kunden)"
"6. Receipt Email (Durable Medium — Art. 11a(4))","6. Empfangsbestätigung per E-Mail (dauerhafter Datenträger — Art. 11a(4))"
"Legally required durable-medium confirmation. Cannot be fully disabled (Art. 11a(4) Directive 2011/83/EU). Disabling here only stops the sender — the receipt is still generated and stored.","Gesetzlich vorgeschriebene Bestätigung auf einem dauerhaften Datenträger. Kann nicht vollständig deaktiviert werden (Art. 11a(4) Richtlinie 2011/83/EU). Eine Deaktivierung hier stoppt nur den Versand — der Beleg wird weiterhin erzeugt und gespeichert."
"Send Email","E-Mail senden"
"Comma-separated.","Kommagetrennt."
"Delivery Retry Attempts","Wiederholungsversuche bei der Zustellung"
"Number of delivery attempts before a receipt is flagged as undelivered.","Anzahl der Zustellversuche, bevor ein Beleg als unzustellbar markiert wird."
"DLQ Alert Recipient","Empfänger der DLQ-Warnungen"
"Notified when a receipt fails permanently. Falls back to Store Email Addresses → General Contact.","Wird benachrichtigt, wenn ein Beleg endgültig nicht zugestellt werden kann. Fällt auf Stores → E-Mail-Adressen → Allgemeiner Kontakt zurück."
"7. Digital Waiver Confirmation Email (Art. 11a(4))","7. E-Mail zur Bestätigung des Verzichts auf digitale Inhalte (Art. 11a(4))"
"Durable-medium copy of the customer's Art. 16(m) waiver, sent immediately after checkout when a digital item is in cart. Required by Art. 11a(4) Directive 2011/83/EU — keeps a tamper-evident record of the legal text the customer accepted.","Kopie des Verzichts gemäß Art. 16(m) auf einem dauerhaften Datenträger, die unmittelbar nach dem Checkout versandt wird, wenn sich ein digitaler Artikel im Warenkorb befindet. Erforderlich nach Art. 11a(4) Richtlinie 2011/83/EU — bewahrt einen manipulationssicheren Nachweis des vom Kunden akzeptierten Rechtstexts sowie den SHA-256-Hash zur Hash-Ketten-Verifizierung."
"Comma-separated. Receives a copy of every confirmation for audit purposes.","Kommagetrennt. Erhält zu Audit-Zwecken eine Kopie jeder Bestätigung."
"Branding (Shared by All Emails Above)","Branding (gemeinsam für alle obigen E-Mails)"
"Optional decoration of the customer-facing emails. Empty fields hide their respective rows. Brand wordmark, logo, support email, and store address are read from the standard Magento configuration tree (Stores → Configuration → General + Design → Transactional Emails).","Optionale Gestaltung der Kunden-E-Mails. Leere Felder blenden die jeweiligen Zeilen aus. Marken-Wortmarke, Logo, Support-E-Mail und Geschäftsadresse werden aus dem Standard-Magento-Konfigurationsbaum gelesen (Stores → Konfiguration → Allgemein + Design → Transaktions-E-Mails)."
"USP Strip — Item 1","USP-Leiste — Element 1"
"Icon","Symbol"
"Title","Titel"
"Subtitle","Untertitel"
"USP Strip — Item 2","USP-Leiste — Element 2"
"USP Strip — Item 3","USP-Leiste — Element 3"
"Social Links","Social-Media-Links"
"Instagram URL","Instagram-URL"
"X / Twitter URL","X-/Twitter-URL"
"Facebook URL","Facebook-URL"
"YouTube URL","YouTube-URL"
"Privacy & Retention","Datenschutz und Aufbewahrung"
"Two-stage GDPR data lifecycle for the <code>mm_eu_withdrawal_request</code> table. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods, so we store them on the same row and age them out separately.","Zweistufiger DSGVO-Datenlebenszyklus für die Tabelle <code>mm_eu_withdrawal_request</code>. Widerrufsanträge enthalten sowohl <em>personenbezogene</em> Daten (Kundenname, E-Mail, IP, User-Agent, Admin-Notizen, Ablehnungsgründe) als auch einen Inhalts-Hash, der den rechtlichen Nachweis auf einem <em>dauerhaften Datenträger</em> nach Art. 11a(4) darstellt. Beide haben unterschiedliche gesetzliche Aufbewahrungsfristen, weshalb wir sie in derselben Zeile speichern und getrennt auslaufen lassen."
"PII Retention (days)","Aufbewahrungsdauer personenbezogener Daten (Tage)"
"How long the <strong>personally identifiable columns</strong> stay on a row before the daily cron <strong>nullifies</strong> them: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. The row itself stays — only PII is wiped. Counted from the row's <code>created_at</code>.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Wie lange die <strong>personenbezogenen Spalten</strong> in einer Zeile verbleiben, bevor der tägliche Cron sie <strong>auf NULL setzt</strong>: <code>customer_name</code>, <code>customer_email</code>, <code>customer_ip</code>, <code>user_agent</code>, <code>denial_reason</code>, <code>admin_note</code>. Die Zeile selbst bleibt erhalten — nur die personenbezogenen Daten werden gelöscht. Gerechnet ab dem <code>created_at</code> der Zeile.<br/><br/>
                        <strong>Standard: 730 Tage (2 Jahre).</strong> Dies ist die Untergrenze — abgewogen zwischen DSGVO Art. 5(1)(e) („Speicherbegrenzung“) und den Verjährungsfristen für verbraucherrechtliche Ansprüche in den meisten EU-Mitgliedstaaten (1–2 Jahre). Bereich: 730–3650 Tage."
"Hash Retention (days)","Aufbewahrungsdauer der Hashes (Tage)"
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) stays. After PII has been wiped above, the row keeps only the SHA-256 hash + receipt timestamps until this period expires; then the cron <strong>deletes the whole row</strong>.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Wie lange der <strong>Inhalts-Hash</strong> (Nachweis auf dauerhaftem Datenträger nach Art. 11a(4)) verbleibt. Nachdem die personenbezogenen Daten oben gelöscht wurden, behält die Zeile nur den SHA-256-Hash + Beleg-Zeitstempel, bis diese Frist abläuft; dann <strong>löscht der Cron die gesamte Zeile</strong>.<br/><br/>
                        <strong>Standard: 2190 Tage (6 Jahre).</strong> Entspricht der längsten handelsrechtlichen Aufbewahrungspflicht in EU-Mitgliedstaaten (typischerweise 6 Jahre für Buchhaltung/USt). Muss ≥ Aufbewahrungsdauer personenbezogener Daten sein. Bereich: 2190–3650 Tage."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability).
                    Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period.
                    The audit rows themselves are never deleted — only anonymised.","Ausschließlich anhängendes Audit-Log aller Widerruf-Lebenszyklusereignisse (DSGVO Art. 5(2) Rechenschaftspflicht).
                    Personenbezogene Daten (IP, User-Agent, Kunden-Akteur-ID) werden nach Ablauf der Aufbewahrungsfrist automatisch auf NULL gesetzt.
                    Die Audit-Zeilen selbst werden niemals gelöscht — nur anonymisiert."
"Order #","Bestell-Nr."
"Contract","Vertrag"
"Submitter","Antragsteller"
"Withdrawal submitted","Widerruf eingereicht"
"Right of Withdrawal — Required Information","Widerrufsrecht — Erforderliche Informationen"
"Before placing your order, please review the conditions, time limit, and procedures for exercising your 14-day right of withdrawal. This information forms part of your contract.","Bevor Sie Ihre Bestellung aufgeben, lesen Sie bitte die Bedingungen, die Frist und das Verfahren zur Ausübung Ihres 14-tägigen Widerrufsrechts. Diese Informationen sind Bestandteil Ihres Vertrags."
"Conditions, Time Limit and Procedures for Withdrawal","Bedingungen, Frist und Verfahren für den Widerruf"
"Start Online Return","Online-Rücksendung starten"
"Download Model Withdrawal Form (Annex I(B))","Muster-Widerrufsformular herunterladen (Anhang I(B))"
"Withdrawal Information v%1 — Issued %2","Widerrufsinformationen v%1 — ausgestellt %2"
"You'll receive a prepaid shipping label in the confirmation email.","Sie erhalten in der Bestätigungs-E-Mail ein vorausbezahltes Versandetikett."
"← Back to order search","← Zurück zur Bestellsuche"
"← Back to items","← Zurück zu den Artikeln"
"Find order","Bestellung finden"
"Enter your order number and email","Bestellnummer und E-Mail eingeben"
"Select items","Artikel auswählen"
"Choose items to return (partial withdrawal)","Artikel zur Rückgabe auswählen (Teilwiderruf)"
"Review & confirm","Prüfen & bestätigen"
"Review your return details and confirm","Rückgabedetails prüfen und bestätigen"
"Request submitted","Antrag eingereicht"
"We'll confirm your request by email","Wir bestätigen Ihren Antrag per E-Mail"
"I expressly consent to begin performance of the digital content before the withdrawal period expires.","Ich verlange ausdrücklich die Ausführung des digitalen Inhalts vor Ablauf der Widerrufsfrist."
"I acknowledge that by giving this consent I lose my right of withdrawal once performance has begun (Art. 16(m) CRD).","Mir ist bekannt, dass ich mit dieser Zustimmung mein Widerrufsrecht verliere, sobald die Ausführung begonnen hat (Art. 16 lit. m VRRL)."
"Withdrawals","Widerrufe"
"Minimum %1 characters required.","Mindestens %1 Zeichen erforderlich."
"Failed to add note.","Notiz konnte nicht hinzugefügt werden."
"Network error while adding note.","Netzwerkfehler beim Hinzufügen der Notiz."
"Exported Evidence","Nachweis exportiert"
"Pending Confirm","Bestätigung ausstehend"
"Sent","Gesendet"
"Failed Permanent","Endgültig fehlgeschlagen"
"Failed Retry","Fehlgeschlagen, Wiederholung"
"Eligible","Berechtigt"
"Excluded","Ausgeschlossen"
"Action","Aktion"
"From","Von"
"To","An"
"Admin Id","Admin-ID"
"Order Id","Bestell-ID"
"Request Id","Antrags-ID"
"Item Count","Anzahl Artikel"
"Rules Fired","Angewandte Regeln"
"Topic","Thema"
"Message Id","Nachrichten-ID"
"Email To Hash","E-Mail-Hash"
"Attempts","Versuche"
"Viewed At","Angesehen am"
"Referrer Host","Verweisender Host"
"Optional legal template — not required to use; you can also exercise the right of withdrawal by any unequivocal statement.","Optionale rechtliche Vorlage — nicht zwingend zu verwenden; Sie können den Widerruf auch durch eine andere eindeutige Erklärung ausüben."
"Right of withdrawal","Widerrufsrecht"
"You have 14 days from the day you receive your order to withdraw without giving any reason — full refund to your original payment method.","Sie haben 14 Tage ab Erhalt Ihrer Bestellung, um ohne Angabe von Gründen zu widerrufen — vollständige Erstattung auf Ihre ursprüngliche Zahlungsmethode."
"Some items may be excluded by law (perishable goods, custom-made items, sealed hygiene or audio/video products). We'll show you exactly what's eligible on the next page.","Einige Artikel können gesetzlich ausgeschlossen sein (verderbliche Waren, Sonderanfertigungen, versiegelte Hygiene- oder Audio-/Videoprodukte). Wir zeigen Ihnen auf der nächsten Seite genau, was widerrufbar ist."
"Direct link — no login or account password required.","Direktlink — keine Anmeldung oder Kontopasswort erforderlich."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches: the <em>Detection</em> subgroup decides what counts as digital (master switch), the <em>Checkout step + Email</em> subgroup renders the 2-checkbox waiver UX and dispatches the confirmation email. Both must be ON for the feature to work end-to-end. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those."
"Customer-facing UX for the withdrawal flow. Subgroups: <em>Buttons</em> (legal-critical labels), <em>Placements</em> (where to surface the link), <em>Return Reasons</em> (per-item dropdown), <em>Review Step</em> (content on step 3 of the flow).","Kundenseitige UX für den Widerrufsablauf. Untergruppen: <em>Schaltflächen</em> (rechtlich relevante Beschriftungen), <em>Platzierungen</em> (wo der Link angezeigt wird), <em>Rückgabegründe</em> (Dropdown pro Artikel), <em>Prüfungsschritt</em> (Inhalt in Schritt 3 des Ablaufs)."
"Disable only if you deliver the durable-medium confirmation through a different channel.","Nur deaktivieren, wenn Sie die Bestätigung auf einem dauerhaften Datenträger über einen anderen Kanal übermitteln."
"Disable only if you deliver the receipt through a different durable medium (postal mail, customer account download, etc.).","Nur deaktivieren, wenn Sie den Beleg über einen anderen dauerhaften Datenträger übermitteln (Post, Download im Kundenkonto usw.)."
"Empty fields fall through to the locale baseline. Any override value becomes part of the SHA-256 hash stored per consent event — changing a field after customers have consented does <strong>not</strong> retroactively invalidate prior consents.","Leere Felder greifen auf die Basisvorlage in the locale baseline für die Sprache/Rechtsordnung zurück. Jeder Override-Wert fließt in den SHA-256-Hash ein, der pro Einwilligungsereignis gespeichert wird — eine Feldänderung, nachdem Kunden eingewilligt haben, macht frühere Einwilligungen <strong>nicht</strong> rückwirkend ungültig."
"Mandatory pre-contractual disclosure of the right of withdrawal. Displayed on the checkout payment step. Each display is logged forensically (Art. 10 defence). Snapshot of the rendered text is stored immutably (Art. 6(5)). <strong>Counsel review recommended before customising any Annex I text.</strong>","Pflichtmäßige vorvertragliche Information über das Widerrufsrecht. Wird im Zahlungsschritt der Kasse angezeigt. Jede Anzeige wird forensisch protokolliert (Verteidigung nach Art. 10). Ein Snapshot des dargestellten Textes wird unveränderlich gespeichert (Art. 6 Abs. 5). <strong>Vor der Anpassung von Anhang-I-Texten wird eine juristische Prüfung empfohlen.</strong>"
"Off = block hidden but display events still recorded server-side via predispatch fallback. Use only for sandbox testing. Default: on.","Aus = Block ausgeblendet, Anzeigeereignisse werden jedoch weiterhin serverseitig per Predispatch-Fallback erfasst. Nur für Sandbox-Tests verwenden. Standard: an."
"Optional URLs rendered as round monogram badges in the email footer. Leave blank to hide.","Optionale URLs, die als runde Monogramm-Badges im E-Mail-Footer angezeigt werden. Leer lassen, um sie auszublenden."
"Sent when a customer cancels their own pending withdrawal.","Wird gesendet, wenn ein Kunde seinen eigenen ausstehenden Widerruf storniert."
"Sent when a customer completes the withdrawal form.","Wird gesendet, wenn ein Kunde das Widerrufsformular ausfüllt."
"Sent when an admin approves a withdrawal request.","Wird gesendet, wenn ein Administrator einen Widerrufsantrag genehmigt."
"Sent when an admin cancels a withdrawal request on the customer's behalf.","Wird gesendet, wenn ein Administrator einen Widerrufsantrag im Namen des Kunden storniert."
"Sent when an admin denies a withdrawal request.","Wird gesendet, wenn ein Administrator einen Widerrufsantrag ablehnt."
"These presets exclude specific product categories from the 14-day withdrawal right, per Art. 16 CRD. Each rule is OFF by default — enable only after confirming the corresponding product attribute is set correctly on your catalog.","Diese Voreinstellungen schließen bestimmte Produktkategorien vom 14-tägigen Widerrufsrecht nach Art. 16 VRRL aus. Jede Regel ist standardmäßig AUS — aktivieren Sie sie erst, nachdem Sie geprüft haben, dass das entsprechende Produktattribut in Ihrem Katalog korrekt gesetzt ist."
"e.g. ""EU orders above €50""","z. B. „EU-Bestellungen über 50 €“"
"e.g. ""Free delivery""","z. B. „Gratisversand“"
"Qty: ","Menge: "
"Submission failed. Please try again.","Übermittlung fehlgeschlagen. Bitte versuchen Sie es erneut."
"Network error. Please try again.","Netzwerkfehler. Bitte versuchen Sie es erneut."
"Invalid server response.","Ungültige Serverantwort."
"Admin Notifications","Administrator-Benachrichtigungen"
"Internal alerts to your team. Independent of the per-email <em>BCC Merchant</em> checkboxes under <em>Customer Notifications</em> below — if you enable both, you will receive two emails per request.","Interne Benachrichtigungen für Ihr Team. Unabhängig von den Kontrollkästchen <em>BCC an Händler</em> unter <em>Kundenbenachrichtigungen</em> weiter unten — wenn Sie beides aktivieren, erhalten Sie zwei E-Mails pro Anfrage."
"1. New Request Alert","1. Benachrichtigung über neue Anfrage"
"Sent the moment a customer completes the two-step withdrawal flow.","Wird in dem Moment gesendet, in dem ein Kunde den zweistufigen Widerrufsprozess abschließt."
"Recipient Email(s)","Empfänger-E-Mail(s)"
"BCC","BCC"
"New Withdrawal Request","Neue Widerrufsanfrage"
"A new withdrawal request was just submitted.","Soeben wurde eine neue Widerrufsanfrage eingereicht."
"Request:","Anfrage:"
"Order:","Bestellung:"
"Customer:","Kunde:"
"Refund Total:","Erstattungssumme:"
"[Withdrawal] New request %request_increment_id · Order #%order_increment_id · %refund_total","[Widerruf] Neue Anfrage %request_increment_id · Bestellung #%order_increment_id · %refund_total"
"Anonymised","Anonymisiert"
"Audit","Prüfung"
"Cancel Order","Bestellung stornieren"
"Confirmation Email (Art. 11a(4))","Bestätigungs-E-Mail (Art. 11a(4))"
"Detection (Art. 16(m))","Erkennung (Art. 16(m))"
"Digital Waiver (Art. 16(m))","Digitaler Verzicht (Art. 16(m))"
"Email Identity","E-Mail-Absender"
"ID","ID"
"Integrity hash","Integritäts-Hash"
"Pre-Contract Proof","Vorvertraglicher Nachweis"
"Verify this receipt","Diese Bestätigung prüfen"
"Withdrawal Window","Widerrufsfrist"
"This SHA-256 hash uniquely identifies your withdrawal record. Verify it at any time using the button above.","Dieser SHA-256-Hash identifiziert Ihren Widerrufsdatensatz eindeutig. Sie können ihn jederzeit über die Schaltfläche oben prüfen."
"Digital content waiver confirmation — Order %increment_id","Bestätigung des Verzichts auf digitale Inhalte — Bestellung %increment_id"
"Comma-separated. Each recipient receives a separate email rendered in their own admin locale (looked up via the admin user's interface_locale; fallback to general/locale/code). Invalid addresses dropped silently.","Komma-getrennt. Jeder Empfänger erhält eine separate E-Mail in seiner eigenen Admin-Sprache (über interface_locale des Admin-Benutzers; Fallback — general/locale/code). Ungültige Adressen werden stillschweigend verworfen."
"Art. 16(m) CRD digital-content detection. Determines what counts as digital content for eligibility purposes. The actual checkout-step waiver UI and email lives in the next section ""Digital Waiver"".","Erkennung digitaler Inhalte nach Art. 16(m) VRRL. Legt fest, was für die Widerrufsfähigkeit als digitaler Inhalt zählt. Die eigentliche Verzichts-UI im Checkout und die E-Mail befinden sich im nächsten Abschnitt „Digitaler Verzicht“."
"Art. 16(m) CRD exclusion — digital content where the customer has (1) given express prior consent to begin performance and (2) acknowledged that they lose the withdrawal right. Two switches control this feature end-to-end: the <em>Detection</em> subgroup under <em>Eligibility Rules</em> decides what counts as digital (master switch); this section renders the 2-checkbox waiver UX at checkout and dispatches the Art. 11a(4) confirmation email. Both must be ON for the feature to work end-to-end. Per-locale text overrides below. Use this only for <strong>one-time digital purchases</strong> (ebooks, software installers, music files, games). Do <strong>not</strong> enable it for ongoing digital <strong>subscriptions or services</strong> (SaaS, streaming, hosted software) — EU case law (CJEU Sky, C-641/19) requires a different consent flow for those.","Ausnahme nach Art. 16(m) VRRL — digitale Inhalte, bei denen der Kunde (1) ausdrücklich zugestimmt hat, dass die Ausführung beginnt, und (2) anerkannt hat, das Widerrufsrecht zu verlieren. Zwei Schalter steuern die Funktion: die Untergruppe <em>Erkennung</em> unter <em>Eligibility Rules</em> entscheidet, was als digital gilt (Hauptschalter); dieser Abschnitt rendert die Verzichts-UI mit 2 Kontrollkästchen im Checkout und versendet die Bestätigungs-E-Mail nach Art. 11a(4). Beide müssen EIN sein. Übersetzungen pro Sprache unten. Nur für <strong>einmalige digitale Käufe</strong> verwenden (E-Books, Installer, Musikdateien, Spiele). <strong>Nicht</strong> für laufende digitale <strong>Abonnements oder Dienste</strong> (SaaS, Streaming, gehostete Software) aktivieren — die EU-Rechtsprechung (CJEU Sky, C-641/19) verlangt einen anderen Einwilligungsablauf."
"Defines <strong>when</strong> the 14-day withdrawal right starts running (the delivery trigger, Art. 9(2)(b)) and <strong>how long</strong> it lasts in days (Art. 9(2)). Together these control the period each order's withdrawal is open.","Definiert, <strong>wann</strong> die 14-tägige Widerrufsfrist beginnt (Liefer-Trigger, Art. 9(2)(b)) und <strong>wie lange</strong> sie in Tagen läuft (Art. 9(2)). Zusammen steuern sie den Zeitraum, in dem jede Bestellung widerruflich ist."
"Default 14 days per Art. 9(2). Extension allowed (e.g. 30, 100). Reduction below 14 is illegal — the field validates 14-3650 only.","Standard 14 Tage nach Art. 9(2). Verlängerung erlaubt (z. B. 30, 100). Verkürzung unter 14 ist unzulässig — das Feld validiert nur 14-3650."
"When on, carts that contain a detected digital item render the 2-checkbox waiver step at checkout. Has no effect unless <em>Eligibility Rules → Detection → Enable Digital Content Detection</em> is also on.","Wenn aktiviert, zeigen Warenkörbe mit einem erkannten digitalen Artikel den Verzichts-Schritt mit 2 Kontrollkästchen im Checkout an. Hat keine Wirkung, sofern nicht auch <em>Eligibility Rules → Erkennung → Erkennung digitaler Inhalte aktivieren</em> aktiviert ist."
"Optional. Comma-separated. Blind-copies the waiver-confirmation email to a merchant audit address. Leave blank to skip.","Optional. Komma-getrennt. Sendet eine Blindkopie der Verzichts-Bestätigungs-E-Mail an eine Audit-Adresse des Händlers. Leer lassen, um zu überspringen."
"<strong>⚠ Legal warning.</strong> Art. 11a(2) CRD requires the literal text ""withdraw from contract here"" <em>or a corresponding unambiguous formulation</em>. The default value (""Withdraw from contract here"") is the Directive's verbatim phrase; Per-locale translations are counsel-signed. <strong>Do not override unless you have received written advice from qualified consumer-law counsel in the target jurisdiction.</strong> Every override is recorded in the audit log.","<strong>⚠ Rechtlicher Hinweis.</strong> Art. 11a(2) VRRL verlangt den wörtlichen Text „hier vom Vertrag zurücktreten“ <em>oder eine entsprechend eindeutige Formulierung</em>. Der Standardwert („Hier vom Vertrag zurücktreten“) ist die wörtliche Formulierung der Richtlinie; Übersetzungen pro Sprache sind anwaltlich geprüft. <strong>Nicht überschreiben, ohne schriftlichen Rat eines qualifizierten Verbraucherschutz-Anwalts in der betreffenden Jurisdiktion erhalten zu haben.</strong> Jede Überschreibung wird im Audit-Log erfasst."
"<strong>⚠ Legal warning.</strong> This is the label on the final confirmation button. Default (""Confirm withdrawal"") is counsel-signed; Per-locale translations are counsel-signed. Override only with written legal advice; overrides are audit-logged.","<strong>⚠ Rechtlicher Hinweis.</strong> Dies ist die Beschriftung der finalen Bestätigungs-Schaltfläche. Standardwert („Widerruf bestätigen“) ist anwaltlich geprüft; Übersetzungen pro Sprache sind anwaltlich geprüft. Nur mit schriftlichem Rechtsrat überschreiben; Überschreibungen werden im Audit-Log erfasst."
"Cancel the linked order? No payment has been captured, so there is nothing to refund — the order will be cancelled in Magento.","Die verknüpfte Bestellung stornieren? Es wurde keine Zahlung erfasst, daher gibt es nichts zu erstatten — die Bestellung wird in Magento storniert."
"Two-stage GDPR data lifecycle. Withdrawal requests carry both <em>personally identifiable</em> data (customer name, email, IP, user agent, admin notes, denial reasons) and a content hash that is the Art. 11a(4) <em>durable-medium</em> legal proof. The two have different mandatory retention periods and are aged out separately.","Zweistufiger DSGVO-Datenlebenszyklus. Widerrufsanfragen enthalten sowohl <em>personenbezogene</em> Daten (Kundenname, E-Mail, IP, User-Agent, Admin-Notizen, Ablehnungsgründe) als auch einen Inhalts-Hash, der den Nachweis auf <em>dauerhaftem Datenträger</em> nach Art. 11a(4) bildet. Beide haben unterschiedliche verpflichtende Aufbewahrungsfristen und werden separat verworfen."
"How long the <strong>personally identifiable fields</strong> (customer name, email, IP, user agent, denial reason, admin note) are kept before they are nullified by the daily privacy cron. The withdrawal record itself stays — only PII is wiped. Counted from the record's creation date.<br/><br/>
                        <strong>Default: 730 days (2 years).</strong> This is the floor — GDPR Art. 5(1)(e) (""storage limitation"") balanced against the statute of limitations for consumer-rights claims in most EU member states (1–2 years). Range: 730–3650 days.","Wie lange die <strong>personenbezogenen Felder</strong> (Kundenname, E-Mail, IP, User-Agent, Ablehnungsgrund, Admin-Notiz) aufbewahrt werden, bevor sie vom täglichen Privacy-Cron auf NULL gesetzt werden. Der Widerrufsdatensatz selbst bleibt — nur die PII wird gelöscht. Gezählt ab Erstellungsdatum des Datensatzes.<br/><br/>
                        <strong>Standard: 730 Tage (2 Jahre).</strong> Dies ist die Untergrenze — DSGVO Art. 5(1)(e) („Speicherbegrenzung“) ausbalanciert mit den Verjährungsfristen für Verbraucherrechtsansprüche in den meisten EU-Mitgliedstaaten (1–2 Jahre). Bereich: 730–3650 Tage."
"How long the <strong>content hash</strong> (Art. 11a(4) durable-medium proof) is retained. After PII has been wiped, the record keeps only the hash and receipt timestamps until this period expires; then the record is deleted entirely.<br/><br/>
                        <strong>Default: 2190 days (6 years).</strong> Matches the longest commercial-records retention obligation in EU member states (typically 6 years for accounting / VAT). Must be ≥ PII Retention. Range: 2190–3650 days.","Wie lange der <strong>Inhalts-Hash</strong> (Nachweis auf dauerhaftem Datenträger nach Art. 11a(4)) aufbewahrt wird. Nach Löschen der PII enthält der Datensatz nur noch den Hash und Quittungszeitstempel, bis diese Frist abläuft; dann wird der Datensatz vollständig gelöscht.<br/><br/>
                        <strong>Standard: 2190 Tage (6 Jahre).</strong> Entspricht der längsten Aufbewahrungspflicht für Geschäftsunterlagen in EU-Mitgliedstaaten (typischerweise 6 Jahre für Buchhaltung / Umsatzsteuer). Muss ≥ PII-Aufbewahrung sein. Bereich: 2190–3650 Tage."
"Append-only audit log of all withdrawal lifecycle events (GDPR Art. 5(2) accountability). Personal data (IP, user agent, customer actor ID) is automatically nullified after the retention period. The audit log itself stays — only PII is wiped.","Append-only Audit-Log aller Widerruf-Lifecycle-Ereignisse (DSGVO Art. 5(2) Rechenschaftspflicht). Personenbezogene Daten (IP, User-Agent, Kunden-Akteur-ID) werden nach Ablauf der Aufbewahrungsfrist automatisch auf NULL gesetzt. Das Audit-Log selbst bleibt — nur die PII wird gelöscht."
